Date,Tip,Price,Time,Payment_method,Order_ID,Bartender_ID
12/08/2023,41019.4,60229.29,12:18 PM,Gift card,41270,398928876
11/15/2021,95570.51,98613.09,6:56 AM,Apple Pay,7204,152582581
03/04/2023,42797.33,82517.39,4:35 PM,Bank transfer,60267,125518261
03/26/2023,84310.44,64030.5,1:58 PM,Gift card,63810,318585138
01/30/2023,2041.81,76569.13,2:18 PM,Bank transfer,28562,177782446
12/19/2023,68636.1,2366.81,7:41 AM,credit card,16979,314335346
07/09/2021,46160.76,35241.94,6:10 AM,Google Pay,55459,218439678
03/20/2021,66244.64,35061.86,9:41 PM,Google Pay,88731,251380477
01/17/2025,34172.83,64091.51,10:20 PM,Cash,14049,246412982
02/13/2024,11772.89,99415.83,10:50 AM,Google Pay,91361,372150413
03/01/2025,54749.59,32235.1,5:24 PM,Cash,32039,382097387
09/23/2024,11468.98,88840.86,12:57 PM,Gift card,65265,124060052
04/28/2022,52344.39,78095.33,3:41 AM,Bitcoin,26452,378119588
11/04/2024,18166.96,36997.39,6:56 PM,Cash,80165,185979655
11/21/2021,88236.64,31793.52,7:22 AM,Google Pay,3747,305633673
11/23/2023,34674.74,51592.9,6:22 PM,Bitcoin,72790,282616098
06/14/2022,46471.54,39419.6,9:52 PM,Bitcoin,96806,307535960
07/26/2020,26239.47,42553.79,8:43 AM,Bank transfer,58556,137471563
11/05/2021,86457.79,75892.29,3:14 PM,Bitcoin,95350,323314179
07/12/2023,2905.09,4947.4,7:22 PM,Bitcoin,71969,347325244
12/28/2020,97884.35,65258.16,11:38 PM,Bitcoin,2426,366978200
02/01/2023,94321.85,65000.66,11:19 PM,Bank transfer,86752,215454612
10/04/2023,37543.2,88020.77,12:28 AM,Apple Pay,64202,280290797
11/27/2020,90599.96,19015.76,5:17 PM,credit card,68645,134190702
05/28/2020,78894.02,28586.26,9:17 PM,Cash,57279,319680155
07/05/2020,60120.75,42839.63,8:04 AM,Bank transfer,87364,170085938
03/29/2024,8720.34,47850.11,3:53 AM,Gift card,63955,302457211
02/14/2023,99291.18,47232.44,7:30 AM,Bank transfer,72682,276503806
05/02/2024,67813.19,15519.77,11:52 PM,Google Pay,22719,348748532
11/07/2021,67031.44,40442.46,4:42 PM,Apple Pay,68487,293870187
08/25/2020,29813.38,19626.14,1:16 AM,Google Pay,29778,106935809
12/21/2021,49739.14,7853.49,8:06 PM,Bank transfer,19839,315050621
10/24/2022,84720.53,84630.17,9:35 AM,Cash,21356,367588392
02/28/2024,31586.59,92602.43,8:49 PM,credit card,65722,244767478
03/16/2021,36127.57,15464.8,10:05 AM,credit card,56978,187426667
10/13/2022,73270.19,67462.96,9:00 AM,Bitcoin,77253,308748457
07/11/2020,37097.94,57710.1,3:10 AM,Apple Pay,64294,249888124
09/02/2020,75070.87,68422.06,3:13 AM,Google Pay,71675,360451014
08/12/2022,85077.29,96351.18,11:53 AM,Cash,92300,378269689
12/01/2024,78797.51,42882.01,12:45 PM,Google Pay,9923,108995121
05/22/2020,83618.39,40251.99,1:47 AM,Cash,93150,100966255
01/13/2022,16827.56,77424.6,3:58 AM,Apple Pay,29708,360583541
05/28/2024,90035,29452.53,7:36 PM,Apple Pay,42247,195031497
09/26/2023,86977.18,51613.55,6:26 AM,Google Pay,53625,367995962
02/18/2023,58170.75,31887.13,7:13 PM,Apple Pay,97634,379492733
09/08/2023,97575.49,69540.34,8:29 AM,Bank transfer,72968,277943276
10/07/2024,10320.9,8409.79,3:20 AM,Cash,89546,356941120
12/27/2021,31307.7,53136.87,11:14 PM,Apple Pay,19350,249974262
12/16/2023,43913.84,8603.66,7:38 PM,Cash,9724,182321655
11/29/2024,31889.14,20429.78,7:12 AM,Bitcoin,96080,302722749
03/27/2021,74998.84,1600.32,11:54 PM,Gift card,31944,372387200
02/27/2021,42543.71,6322.61,6:48 AM,Bitcoin,17851,204710374
05/02/2023,64244.4,6360.5,10:23 PM,Bitcoin,79196,309636280
08/10/2023,9584.58,36015.19,4:37 PM,Gift card,75652,266929671
10/14/2023,52321.09,1869.61,7:55 PM,Gift card,96995,347242861
08/04/2024,32186.53,22610.48,9:00 PM,Bitcoin,26228,141469748
01/03/2024,89243.88,63267.08,7:23 AM,Apple Pay,21147,101594428
08/18/2020,22545.6,24493.36,2:33 AM,Gift card,21407,344948777
10/20/2023,26489.4,54135.15,9:42 AM,Cash,86828,345533131
03/07/2025,64926.31,15693.87,8:21 AM,Bank transfer,39799,365708533
01/10/2022,77998.31,35824.03,8:18 AM,Gift card,3455,201031978
03/13/2022,33205.04,86541.03,7:54 PM,Bank transfer,56463,375374665
10/06/2022,44109.99,3893.94,9:41 AM,Bank transfer,84228,247686173
11/27/2021,86238.89,42773.81,2:44 AM,Bitcoin,25912,268405748
05/19/2020,81208.67,24189.12,12:07 PM,Cash,78442,368570157
04/13/2023,81377.12,13433.76,3:37 PM,Bank transfer,51313,224044074
01/13/2025,65756.36,91405.67,9:44 AM,Cash,28409,251276694
10/03/2021,96233.3,68993.91,2:29 PM,Google Pay,80726,169676470
10/24/2024,97717.51,43262.79,12:47 PM,Apple Pay,51480,277794583
01/16/2025,6921.45,81536.63,1:49 AM,Cash,99332,128271881
02/25/2021,31825.24,85397.25,12:28 PM,Bank transfer,35820,287091081
11/19/2022,40574.81,31902.21,4:58 AM,Google Pay,71783,248712007
08/24/2022,36105.23,57845.41,12:40 AM,Bitcoin,48833,284772035
05/06/2021,30589.23,66218.36,11:33 AM,Google Pay,37854,236194798
05/26/2020,58065.44,85866.35,6:43 AM,Google Pay,95320,256126942
05/08/2022,56821.09,3428.61,10:39 PM,credit card,68686,158874246
07/03/2022,49581.63,54166.31,9:50 AM,Apple Pay,89434,133701899
11/05/2021,93573.21,71377.37,7:34 AM,Bitcoin,20760,365537824
01/17/2024,59084.72,4114.7,5:24 PM,Cash,31520,396870970
04/22/2024,72274.93,72671.51,3:30 AM,Cash,67880,383490816
03/16/2025,51796.66,45088.43,11:41 PM,Cash,56545,366193790
03/09/2023,20414.63,50903.11,8:34 AM,Gift card,13272,110252191
07/25/2024,17338.2,93300.72,12:05 PM,Bitcoin,35797,225565861
06/25/2020,49572.99,98098.86,1:55 PM,Gift card,89937,331637862
10/17/2021,24030.94,16979.1,2:32 AM,Bank transfer,71322,332232960
09/05/2021,52365.54,83403.21,11:58 PM,Apple Pay,16808,398089497
10/14/2022,1164.96,11963.15,10:22 PM,Apple Pay,83001,315553608
08/04/2023,49485.35,44026.64,10:43 PM,credit card,2662,329665019
12/17/2023,77802.12,99229.74,12:47 AM,credit card,58962,231369086
01/04/2025,83719.1,57061.04,3:12 AM,Gift card,12931,308704483
11/04/2021,53006.11,30242.98,9:46 PM,Bank transfer,62519,342621010
01/20/2022,11132.82,40738.35,7:22 AM,Cash,13870,319459647
01/03/2025,21085.93,80737.61,9:43 AM,Cash,1069,393939115
03/15/2021,46051.37,34941.13,8:36 PM,credit card,7401,224962504
08/27/2021,55309.68,67230.22,7:25 AM,Google Pay,22563,343812724
04/29/2022,7509.92,68707.84,2:32 PM,Gift card,65257,220033727
07/16/2020,59385.69,28958.97,11:45 PM,Apple Pay,22099,173887233
09/29/2020,90841.77,9238.38,12:53 AM,Gift card,23252,194336941
12/25/2020,71587.16,91880.74,6:54 PM,Bank transfer,67114,276930467
10/08/2021,19783.72,97007.61,9:54 PM,Google Pay,23701,255724011
04/08/2025,24338.48,26281.56,4:25 AM,Gift card,68503,188073661
03/29/2022,74145.38,52958.88,7:56 AM,Bitcoin,16288,142656819
10/06/2024,42888.8,85039.86,6:36 PM,Bank transfer,59684,190491823
10/27/2023,69424.37,860.87,4:04 AM,credit card,3801,204345598
12/06/2020,38060.73,32085.38,11:09 AM,Cash,74332,232599294
09/05/2023,76781.09,55915.24,8:47 AM,Bitcoin,49910,355965353
04/15/2021,80292.03,39461.42,5:28 AM,Apple Pay,86841,194505545
05/10/2024,72793.24,43232.59,8:12 AM,Bitcoin,54591,333866214
08/06/2021,10591.75,82790.53,1:03 PM,Apple Pay,55589,349709013
11/24/2023,52006.28,93124.79,8:40 AM,Bank transfer,78092,104473488
08/23/2024,92427.59,803.81,10:39 AM,Gift card,21215,106505346
10/04/2021,1473.06,49127.77,11:37 AM,Bank transfer,77984,367597047
07/10/2022,23105.57,16970.18,11:56 AM,Google Pay,6226,278839445
05/12/2021,42851.9,70141.06,2:47 AM,Cash,9933,316367302
07/08/2023,30398.56,41024.25,8:10 AM,Bank transfer,53540,387680017
07/03/2021,10153.56,49575.55,2:31 AM,Cash,5919,317523573
10/25/2023,53704.25,88437.19,4:09 AM,Google Pay,63231,298624074
01/20/2022,20823.81,78052.68,4:18 PM,Bank transfer,91395,153441289
07/15/2021,2936.22,47415.08,9:29 AM,Bitcoin,93109,292276790
07/16/2022,59567.87,76064.65,5:48 PM,Bitcoin,76261,296124584
06/26/2023,78436.39,59302.16,9:29 AM,Bitcoin,29185,285483377
10/04/2023,72.75,40125.25,9:33 PM,Apple Pay,57957,390901002
06/13/2023,50321.62,60387.6,9:02 AM,Apple Pay,79738,194319137
11/03/2020,43721.86,43986.38,10:07 AM,Bitcoin,21002,127609248
03/22/2023,22084.96,98329.62,10:15 AM,Gift card,47629,211147352
05/13/2020,58058.66,25535.31,11:01 AM,Google Pay,77051,204072067
08/14/2023,27836.14,74420.53,9:25 PM,Cash,10006,358085992
04/16/2020,56851.05,84581.27,8:32 AM,Gift card,94217,254744305
02/12/2022,61598.11,5474.58,8:04 PM,credit card,52044,268837926
10/04/2020,92991.47,58567.98,10:57 PM,credit card,40004,228303421
03/04/2024,60781.68,48095.39,3:50 PM,Bitcoin,24505,111225847
06/13/2022,21004.1,70969.54,11:55 PM,Cash,2663,161306946
11/09/2024,63593.63,8468.34,10:19 AM,Bitcoin,96071,290890901
12/26/2022,87436.64,28680.02,11:19 PM,Gift card,24270,142467760
07/14/2024,20875.46,1453.55,9:58 AM,Apple Pay,17218,125644515
09/11/2023,57138.84,19324.75,1:05 PM,Gift card,73414,230907292
06/15/2023,96697.54,16040.02,8:19 AM,Bank transfer,41911,246527679
05/29/2023,32020.7,65497.99,6:32 PM,Gift card,69353,345772159
04/02/2021,27459.24,77846.1,9:52 AM,Bitcoin,94452,333419700
08/01/2024,5810.56,14200.16,11:42 AM,Cash,84628,137706347
02/22/2025,97828.17,2315.15,11:22 AM,Google Pay,87699,154606771
10/31/2022,86903.96,61971.65,8:38 PM,Bitcoin,72851,220220886
03/09/2021,16452.12,81225.26,1:26 AM,Apple Pay,69264,121129534
08/23/2024,65213.69,14414.99,12:49 PM,Cash,79759,272843537
03/16/2025,1538.94,59543.82,8:58 PM,Gift card,37720,130183636
04/16/2021,57135.84,31247.45,11:59 AM,Bitcoin,92271,306775254
06/12/2024,20337.08,89309.62,5:27 PM,Gift card,81846,392227268
02/09/2021,7226.64,59976.96,7:19 AM,Bitcoin,87987,292314298
11/24/2020,30328.66,66152.41,9:08 AM,Bitcoin,32986,118277537
08/10/2023,27761.44,55682.96,1:02 PM,Google Pay,30194,344255784
